Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,early_exit,promotion_velocity,role_stagnation,burnout_risk,career_growth_score,stability_index
0.4463504035345031,1,2,1102,2,1,2,1,1,2,0,94,3,2,7,4,2,-0.10834951351067117,19479,8,0,1,11,3,1,80,0,-0.42164245835933756,0,1,-0.16461310905422863,-0.063295899399149,-0.6791456840737199,5,0,0.9256389836307707,0,0,-0.08828425020426356,0.2983229624701303
1.3223652142096962,0,1,279,1,8,1,1,1,3,1,61,2,2,6,2,1,-0.29171858995657424,24907,1,0,0,23,4,4,80,1,-0.16451140099023315,3,3,0.48850772848886465,0.7649976209279952,-0.3687152874355457,7,0,0.6046815985163456,1,0,-0.31696768245143125,1.1507914064214602
0.008342998196906572,1,2,1373,1,2,2,4,1,4,1,92,2,1,2,3,2,-0.9376536912260358,2396,6,0,1,15,3,2,80,0,-0.5502079870438897,3,3,-1.1442943653688686,-1.1676872598353414,-0.6791456840737199,0,1,-1.0001053270557796,0,0,-0.08828425020426356,-2.045965258396027
-0.42966440714069,0,1,1392,1,3,4,1,1,4,0,56,3,1,6,3,1,-0.7636336754564013,23159,1,0,1,11,3,3,80,0,-0.42164245835933756,3,3,0.16194730971731802,0.7649976209279952,0.2521455058408027,0,0,-0.3581905568269295,1,0,-0.545651114698599,1.079752369425516
-1.0866755151470848,0,2,591,1,2,1,3,1,1,1,40,3,1,2,2,1,-0.6448581091374443,16632,9,0,0,12,3,4,80,1,-0.678773515728442,3,3,-0.8177339465973219,-0.6154915796172451,-0.058284890797371494,2,0,-0.7861337369794963,0,0,0.14039918204290416,-1.0412703065962452
-0.5391662584750891,0,1,1005,1,2,2,1,1,4,1,79,3,1,2,4,2,-0.7298495698307945,11864,0,0,0,13,3,3,80,0,-0.42164245835933756,2,2,-0.0013328996684553085,0.7649976209279952,0.2521455058408027,6,0,-0.4384299031055358,1,0,-0.7743345469457666,0.6890376659478233
2.4173837275536876,0,2,1324,1,3,3,3,1,3,0,81,4,1,2,1,1,-0.814416073220678,9964,4,0,1,20,4,1,80,3,0.09261965637887129,3,2,-0.9810141559830953,-1.1676872598353414,-0.6791456840737199,0,0,-0.6791479419413545,0,0,0.254740898166488,-1.7754704636807008
-0.7581699611438873,0,2,1358,1,24,1,1,1,4,1,67,3,1,2,3,0,-0.8095290642308104,13335,1,0,0,22,4,2,80,1,-1.3216011591512031,2,3,-0.9810141559830953,-1.1676872598353414,-0.6791456840737199,0,0,-0.6791479419413545,0,0,-1.4603848436872697,-0.2877490927464089
0.11784484953130571,0,1,216,1,23,3,1,1,4,1,44,2,3,4,3,2,0.6423375630633446,8787,0,0,0,21,4,2,80,0,-0.16451140099023315,2,3,0.32522751910309133,0.7649976209279952,-0.3687152874355457,8,0,0.4442029059591331,1,0,-0.545651114698599,0.8311157399397118
-0.10115885313749257,0,2,1299,1,27,3,3,1,3,1,94,3,2,0,3,1,-0.2689833742211031,16577,6,0,0,13,3,2,80,2,0.7354472998016324,3,2,-0.0013328996684553085,0.7649976209279952,1.4938670923934996,7,0,-0.7192676150806577,1,0,1.055132911031575,-0.6784637962241018
